入库时间,因子表达式,品种选择,品种合约,数据周期,预测周期,训练集时间,训练集IC,训练集IR,训练集有效时间点,测试集时间,测试集IC,测试集IR,测试集有效时间点,真实集时间,真实集IC,真实集IR,真实集有效时间点,按IC分类,按IR分类
2026-4-5 9:55,"MIN(FORCAST(MIN(BOLL_UPPER(68, 8.56172617410534), open), 8), LOWRANGE(DPO(47, 36)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.06497854,0.173597141,1789,2025-09-01~2025-12-31,0.066587842,0.168676102,2269,2026-01-01~2026-04-05,0.028000662,0.070440767,1554,IC无效因子,IR不稳定因子
2026-4-5 9:56,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.099658946,0.268720766,1864,2025-09-01~2025-12-31,0.085431063,0.220237619,2370,2026-01-01~2026-04-05,0.057930849,0.15116111,1677,IC有效因子,IR不稳定因子
2026-3-2 10:55,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['时间分类', '股指期货']","['IC888', 'IF888', 'IH888', 'IM888']",15分钟,1,2025-06-01~2025-08-31,0.061028687,0.088745054,901,2025-09-01~2025-12-31,0.012405707,0.018395482,1175,2026-01-01~2026-03-02,0.065232666,0.094945341,424,IC有效因子,IR不稳定因子
2026-3-2 10:59,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.099658946,0.268720766,1864,2025-09-01~2025-12-31,0.085431063,0.220237619,2370,2026-01-01~2026-03-02,0.050110513,0.133188756,902,IC有效因子,IR不稳定因子
2026-3-2 11:02,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-06-01~2025-08-31,0.134973405,0.237830369,964,2025-09-01~2025-12-31,0.114167233,0.194851136,1252,2026-01-01~2026-03-02,0.09871659,0.168515519,467,IC有效因子,IR稳定因子
2026-3-2 11:22,"RANK(WR(2), BOLL_UPPER(24, 2.26))","['农产品', '金属']","['a888', 'b888', 'm888', 'y888', 'p888', 'OI888', 'PK888', 'RM888', 'RS888', 'c888', 'cs888', 'CF888', 'SR888', 'AP888', 'CY888', 'CJ888', 'jd888', 'lh888', 'cu888', 'al888', 'zn888', 'pb888', 'ni888', 'sn888', 'bc888', 'ao888', 'lc888', 'si888', 'au888', 'ag888', 'rb888', 'hc888', 'wr888', 'ss888', 'i888', 'jm888', 'j888']",15分钟,1,2025-06-01~2025-08-31,0.087644178,0.268388252,1864,2025-09-01~2025-12-31,0.085335445,0.210823082,2449,2026-01-01~2026-03-02,0.052593714,0.110530861,1092,IC有效因子,IR不稳定因子
2026-3-2 10:55,"RANK(WR(2), WMA(BBI(65, 87, 58, 55), BBI(36, 84, 37, 62)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.099658946,0.268720766,1864,2025-09-01~2025-12-31,0.085431063,0.220237619,2370,2026-01-01~2026-03-02,0.050110513,0.133188756,902,IC有效因子,IR不稳定因子
2026-3-2 10:56,"RANK(WR(2), WMA(BBI(65, 87, 58, 55), BBI(36, 84, 37, 62)))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-06-01~2025-08-31,0.134973405,0.237830369,964,2025-09-01~2025-12-31,0.114167233,0.194851136,1252,2026-01-01~2026-03-02,0.09871659,0.168515519,467,IC有效因子,IR稳定因子
2026-3-2 11:02,"RANK(WR(2), WMA(BBI(65, 87, 58, 55), BBI(36, 84, 37, 62)))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-01-01~2025-06-30,0.081841521,0.135308291,1833,2025-07-01~2025-12-31,0.112484868,0.192496644,1991,2026-01-01~2026-03-02,0.09871659,0.168515519,467,IC有效因子,IR稳定因子
2026-3-2 11:06,"RANK(WR(2), WMA(BBI(65, 87, 58, 55), BBI(36, 84, 37, 62)))","['时间分类', '贵金属与原油']","['au888', 'ag888', 'sc888']",15分钟,1,2025-01-01~2025-06-30,0.017544446,0.02419858,4083,2025-07-01~2025-12-31,0.001085924,0.001492475,4481,2026-01-01~2026-03-02,0.039520725,0.055396616,1093,IC无效因子,IR不稳定因子
2026-3-2 11:12,"RANK(WR(2), WMA(BBI(65, 87, 58, 55), BBI(36, 84, 37, 62)))","['时间分类', '日盘商品']","['wr888', 'AP888', 'CJ888', 'PK888', 'RS888', 'UR888', 'fb888', 'jd888', 'lh888', 'lg888', 'ec888', 'lc888', 'si888', 'ps888']",15分钟,1,2025-01-01~2025-06-30,0.090813745,0.312774593,1620,2025-07-01~2025-12-31,0.06432867,0.232670379,1754,2026-01-01~2026-03-02,0.0752987,0.271894582,390,IC有效因子,IR稳定因子
2026-3-2 11:21,"RANK(WR(2), WMA(BBI(65, 87, 58, 55), BBI(36, 84, 37, 62)))","['农产品', '油脂油料类']","['a888', 'b888', 'm888', 'y888', 'p888', 'OI888', 'PK888', 'RM888', 'RS888']",15分钟,1,2025-01-01~2025-06-30,0.040464817,0.097081533,2516,2025-07-01~2025-12-31,0.070876261,0.166487837,2746,2026-01-01~2026-03-02,0.069092485,0.163029213,646,IC有效因子,IR稳定因子
2026-3-2 11:29,"RANK(WR(2), WMA(BBI(65, 87, 58, 55), BBI(36, 84, 37, 62)))","[['农产品', '油脂油料类'], '金属']","['a888', 'b888', 'm888', 'y888', 'p888', 'OI888', 'PK888', 'RM888', 'RS888', 'cu888', 'al888', 'zn888', 'pb888', 'ni888', 'sn888', 'bc888', 'ao888', 'lc888', 'si888', 'au888', 'ag888', 'rb888', 'hc888', 'wr888', 'ss888', 'i888', 'jm888', 'j888']",15分钟,1,2025-01-01~2025-06-30,0.051676072,0.10894082,4070,2025-07-01~2025-12-31,0.053181503,0.111478379,4464,2026-01-01~2026-03-02,0.050713429,0.104691227,1092,IC有效因子,IR不稳定因子
2026-3-2 11:09,WR(2),"['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.09928069,0.269447487,1983,2025-09-01~2025-12-31,0.082764512,0.213672759,2489,2026-01-01~2026-03-02,0.045652043,0.118959282,1021,IC有效因子,IR不稳定因子
2026-3-2 11:14,WR(2),"['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-06-01~2025-08-31,0.152848396,0.252781309,1045,2025-09-01~2025-12-31,0.108988032,0.176631067,1336,2026-01-01~2026-03-02,0.1404353,0.231239118,565,IC有效因子,IR稳定因子
2026-3-2 11:17,WR(2),"['时间分类', '贵金属与原油']","['au888', 'ag888', 'sc888']",15分钟,1,2025-06-01~2025-08-31,-0.007633588,-0.00763381,2358,2025-09-01~2025-12-31,-0.027676141,-0.028941581,2958,2026-01-01~2026-03-02,0.035677398,0.049832387,1209,IC无效因子,IR不稳定因子
2026-3-2 11:31,WR(2),"['时间分类', '股指期货']","['IC888', 'IF888', 'IH888', 'IM888']",15分钟,1,2025-06-01~2025-08-31,0.059582438,0.085815507,1020,2025-09-01~2025-12-31,0.024382998,0.036136547,1293,2026-01-01~2026-03-02,0.047954895,0.069275403,543,IC有效因子,IR不稳定因子
2026-3-2 14:40,LOWRANGE(BIAS(90)),"['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-06-01~2025-08-31,0.106290703,0.174710393,678,2025-09-01~2025-12-31,0.088424901,0.140471268,927,2026-01-01~2026-03-02,0.114645036,0.195120283,414,IC无效因子,IR稳定因子
2026-3-2 14:41,LOWRANGE(BIAS(90)),"['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.06650013,0.177923762,1784,2025-09-01~2025-12-31,0.066087523,0.168272025,2264,2026-01-01~2026-03-02,0.027901578,0.070604243,830,IC无效因子,IR不稳定因子
2026-3-2 14:41,LOWRANGE(BIAS(90)),"['时间分类', '贵金属与原油']","['au888', 'ag888', 'sc888']",15分钟,1,2025-06-01~2025-08-31,0.01626646,0.016268612,1291,2025-09-01~2025-12-31,-0.007559333,-0.008112969,1533,2026-01-01~2026-03-02,0.020344806,0.028590222,847,IC无效因子,IR不稳定因子
2026-3-5 9:10,"COS(TS_RANK(DPO(93, 61), SQRT(SMA(SQRT(HV(KDJ_D(75, 14, 8), 9)), 19, 1.0))))","['时间分类', '贵金属与原油']","['au888', 'ag888', 'sc888']",15分钟,1,2025-06-01~2025-08-31,0.003262643,0.00326266,1226,2025-09-01~2025-12-31,-0.035959237,-0.038600892,1421,2026-01-01~2026-03-05,0.036544658,0.050510899,827,IC无效因子,IR不稳定因子
2026-3-5 9:12,"COS(TS_RANK(DPO(93, 61), SQRT(SMA(SQRT(HV(KDJ_D(75, 14, 8), 9)), 19, 1.0))))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-06-01~2025-08-31,0.106671231,0.175852538,639,2025-09-01~2025-12-31,0.094781242,0.152764361,873,2026-01-01~2026-03-05,0.117140836,0.203719844,325,IC有效因子,IR稳定因子
2026-3-5 9:12,"COS(TS_RANK(DPO(93, 61), SQRT(SMA(SQRT(HV(KDJ_D(75, 14, 8), 9)), 19, 1.0))))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.076561835,0.205712307,1778,2025-09-01~2025-12-31,0.06057204,0.154488923,2274,2026-01-01~2026-03-05,0.034822631,0.089308223,804,IC无效因子,IR不稳定因子
2026-3-5 10:18,"MIN(FORCAST(MIN(BOLL_UPPER(68, 8.56172617410534), open), 8), LOWRANGE(DPO(47, 36)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-06-01~2025-08-31,0.06497854,0.173597141,1789,2025-09-01~2025-12-31,0.066587842,0.168676102,2269,2026-01-01~2026-03-05,0.018822217,0.047259653,836,IC无效因子,IR不稳定因子
2026-3-5 10:18,"MIN(FORCAST(MIN(BOLL_UPPER(68, 8.56172617410534), open), 8), LOWRANGE(DPO(47, 36)))","['时间分类', '贵金属与原油']","['au888', 'ag888', 'sc888']",15分钟,1,2025-06-01~2025-08-31,-0.010085337,-0.01008585,1289,2025-09-01~2025-12-31,-0.002310661,-0.002443714,1553,2026-01-01~2026-03-05,0.04491535,0.064124141,883,IC有效因子,IR不稳定因子
2026-3-5 10:18,"MIN(FORCAST(MIN(BOLL_UPPER(68, 8.56172617410534), open), 8), LOWRANGE(DPO(47, 36)))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-06-01~2025-08-31,0.074286544,0.116575855,702,2025-09-01~2025-12-31,0.059021075,0.093249776,928,2026-01-01~2026-03-05,0.09439299,0.158300528,410,IC有效因子,IR稳定因子
2026-3-5 11:22,"HHVBARS(LLV(SMA(close, TS_RANK(ROC(33), BRAR_AR(92)), 5.0), 0.003), TAN(CCI(112)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-01-01~2025-06-31,0.055139847,0.14505103,862,2025-07-01~2025-12-31,0.064462588,0.168742849,3020,2026-01-01~2026-03-05,0.049655378,0.130629195,731,IC有效因子,IR不稳定因子
2026-3-6 9:46,"INV(RANK(close, RANK_DIV(open_interest, SLOPE(open_interest, 15), low)))","['时间分类', '日盘商品']","['wr888', 'AP888', 'CJ888', 'PK888', 'RS888', 'UR888', 'fb888', 'jd888', 'lh888', 'lg888', 'ec888', 'lc888', 'si888', 'ps888']",15分钟,1,2025-01-01~2025-06-31,0.093184079,0.324714928,520,2025-07-01~2025-12-31,0.052022334,0.181115525,1870,2026-01-01~2026-03-06,0.078720385,0.279063027,566,IC有效因子,IR稳定因子
2026-3-6 9:49,"INV(RANK(close, RANK_DIV(open_interest, SLOPE(open_interest, 15), low)))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-01-01~2025-06-31,0.120211381,0.197168477,404,2025-07-01~2025-12-31,0.029848273,0.046238082,1940,2026-01-01~2026-03-06,0.133162847,0.207990223,444,IC无效因子,IR稳定因子
2026-3-6 9:54,"RANK_DIV(open, close, BRAR_BR(61))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-01-01~2025-06-31,0.107038829,0.180284725,480,2025-07-01~2025-12-31,0.06318539,0.104335643,1947,2026-01-01~2026-03-06,0.083229361,0.134604812,554,IC有效因子,IR不稳定因子
2026-3-6 9:56,"RANK_DIV(open, close, BRAR_BR(61))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-01-01~2025-06-31,0.067555536,0.182358831,945,2025-07-01~2025-12-31,0.058272844,0.154225574,3746,2026-01-01~2026-03-06,0.031634688,0.082590551,978,IC无效因子,IR不稳定因子
2026-3-6 9:42,"HHVBARS(KDJ_K(4, 84), COS(MACD_DEA(49, 46, 88)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-01-01~2025-06-31,0.070057246,0.185366559,956,2025-07-01~2025-12-31,0.065566457,0.172390481,3329,2026-01-01~2026-03-06,0.049255686,0.131150854,826,IC有效因子,IR不稳定因子
2026-3-6 10:09,"HHVBARS(KDJ_K(4, 84), COS(MACD_DEA(49, 46, 88)))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-01-01~2025-06-31,0.134638726,0.228128999,288,2025-07-01~2025-12-31,0.086985307,0.139580066,935,2026-01-01~2026-03-06,0.154917206,0.260906031,340,IC有效因子,IR稳定因子
2026-3-6 10:45,"HHVBARS(KDJ_K(4, 84), COS(MACD_DEA(49, 46, 88)))","['时间分类', '日盘商品']","['wr888', 'AP888', 'CJ888', 'PK888', 'RS888', 'UR888', 'fb888', 'jd888', 'lh888', 'lg888', 'ec888', 'lc888', 'si888', 'ps888']",15分钟,1,2025-01-01~2025-06-31,0.08744,0.307285611,516,2025-07-01~2025-12-31,0.049077943,0.175413111,1870,2026-01-01~2026-03-06,0.07091497,0.248977781,567,IC有效因子,IR稳定因子
2026-3-6 10:54,"RANK_DIV(LOWRANGE(WMA(KDJ_D(104, 117, 112), 4)), close, RANK(ROC(38), COS(MAX(high, close))))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-01-01~2025-06-31,0.076637255,0.203342533,1038,2025-07-01~2025-12-31,0.062354564,0.162936645,3756,2026-01-01~2026-03-06,0.022163286,0.05873489,1020,IC无效因子,IR不稳定因子
2026-3-6 11:33,"RANK_DIV(LOWRANGE(WMA(KDJ_D(104, 117, 112), 4)), close, RANK(ROC(38), COS(MAX(high, close))))","['时间分类', '日盘商品']","['wr888', 'AP888', 'CJ888', 'PK888', 'RS888', 'UR888', 'fb888', 'jd888', 'lh888', 'lg888', 'ec888', 'lc888', 'si888', 'ps888']",15分钟,1,2025-01-01~2025-06-31,0.09688412,0.337836609,520,2025-07-01~2025-12-31,0.051870107,0.180192094,1870,2026-01-01~2026-03-06,0.073868474,0.261801655,566,IC有效因子,IR稳定因子
2026-3-6 11:56,"RANK_DIV(LOWRANGE(WMA(KDJ_D(104, 117, 112), 4)), close, RANK(ROC(38), COS(MAX(high, close))))","['时间分类', '国债期货']","['T888', 'TF888', 'TS888', 'TL888']",15分钟,1,2025-01-01~2025-06-31,0.115837127,0.189143372,415,2025-07-01~2025-12-31,0.093522302,0.150597379,1490,2026-01-01~2026-03-06,0.132153658,0.206799784,460,IC无效因子,IR稳定因子
2026-3-9 9:09,"RANK_DIV(SUB(AVEDEV(MASS(29, 52), 11), RSI(52)), LV(HHVBARS(REF(BRAR_BR(66), 19), 1), TR()), TOPRANGE(low))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",15分钟,1,2025-01-01~2025-06-31,0.076707079,0.208767105,925,2025-07-01~2025-12-31,0.068201613,0.179237442,3650,2026-01-01~2026-03-09,0.022328364,0.058662628,998,IC无效因子,IR不稳定因子
