入库时间,因子表达式,品种选择,品种合约,预测周期,训练集时间,训练集IC,训练集IR,训练集有效时间点,测试集时间,测试集IC,测试集IR,测试集有效时间点,真实集时间,真实集IC,真实集IR,真实集有效时间点,按IC分类,按IR分类
2026-04-05 10:20:10,"MIN(FORCAST(MIN(BOLL_UPPER(68, 8.56172617410534), open), 8), LOWRANGE(DPO(47, 36)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,0.06497854048016435,0.17359714068330268,1789,2025-09-01~2025-12-31,0.06658784189795375,0.16867610153889287,2269,2026-01-01~2026-04-05,0.02800066223831266,0.07044076676075837,1554,,
2026-04-05 10:20:10,"CORR(TS_ZSCORE(high, LV(high, 5)), EMV(85), open_interest)","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,-0.010836302309535015,-0.029896119398347968,1696,2025-09-01~2025-12-31,0.004937631282757012,0.0134479290116466,2202,2026-01-01~2026-04-05,-0.005205250987375767,-0.014325609401222211,1509,,
2026-04-05 11:43:52,WR(2),"['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,0.09928069047148344,0.2694474874153542,1983,2025-09-01~2025-12-31,0.08276451230153414,0.21367275889651893,2489,2026-01-01~2026-04-05,0.056199025264969955,0.1462714470624141,1796,IC有效因子,IR不稳定因子
2026-04-05 11:43:52,"HHVBARS(LLV(SMA(close, TS_RANK(ROC(33), BRAR_AR(92)), 5.0), 0.003), TAN(CCI(112)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,0.06504631971314491,0.17252626684369998,1568,2025-09-01~2025-12-31,0.062244292482396144,0.16161071840335828,1959,2026-01-01~2026-04-05,0.045927352722569356,0.11981270898443847,1290,IC无效因子,IR不稳定因子
2026-04-06 16:52:46,"MIN(FORCAST(MIN(BOLL_UPPER(68, 8.56172617410534), open), 8), LOWRANGE(DPO(47, 36)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,0.06497854048016435,0.17359714068330268,1789,2025-09-01~2025-12-31,0.06658784189795375,0.16867610153889287,2269,2026-01-01~2026-04-06,0.02800066223831266,0.07044076676075837,1554,IC无效因子,IR不稳定因子
2026-04-06 16:52:46,"CORR(TS_ZSCORE(high, LV(high, 5)), EMV(85), open_interest)","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,-0.010836302309535015,-0.029896119398347968,1696,2025-09-01~2025-12-31,0.004937631282757012,0.0134479290116466,2202,2026-01-01~2026-04-06,-0.005205250987375767,-0.014325609401222211,1509,IC无效因子,IR不稳定因子
2026-04-06 16:52:46,WR(2),"['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,0.09928069047148344,0.2694474874153542,1983,2025-09-01~2025-12-31,0.08276451230153414,0.21367275889651893,2489,2026-01-01~2026-04-06,0.056199025264969955,0.1462714470624141,1796,IC有效因子,IR不稳定因子
2026-04-06 16:52:46,"HHVBARS(LLV(SMA(close, TS_RANK(ROC(33), BRAR_AR(92)), 5.0), 0.003), TAN(CCI(112)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,0.06504631971314491,0.17252626684369998,1568,2025-09-01~2025-12-31,0.062244292482396144,0.16161071840335828,1959,2026-01-01~2026-04-06,0.045927352722569356,0.11981270898443847,1290,IC无效因子,IR不稳定因子
2026-04-07 17:05:42,"MIN(FORCAST(MIN(BOLL_UPPER(68, 8.56172617410534), open), 8), LOWRANGE(DPO(47, 36)))","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,0.06497854048016435,0.17359714068330268,1789,2025-09-01~2025-12-31,0.06658784189795375,0.16867610153889287,2269,2026-01-01~2026-04-07,0.02800066223831266,0.07044076676075837,1554,IC无效因子,IR不稳定因子
2026-04-07 17:05:42,"CORR(TS_ZSCORE(high, LV(high, 5)), EMV(85), open_interest)","['时间分类', '有色金属']","['ao888', 'ni888', 'pb888', 'sn888', 'ss888', 'zn888', 'al888', 'cu888', 'bc888']",1,2025-06-01~2025-08-31,-0.010836302309535015,-0.029896119398347968,1696,2025-09-01~2025-12-31,0.004937631282757012,0.0134479290116466,2202,2026-01-01~2026-04-07,-0.005205250987375767,-0.014325609401222211,1509,IC无效因子,IR不稳定因子
